index,w_star,w_hat
1,10.0,14.856034775569299
2,10.0,13.592378318503988
3,10.0,11.117843208616526
4,10.0,11.346573861261092
5,10.0,11.347563691771368
6,10.0,14.130972404211073
7,10.0,12.245052319203744
8,10.0,11.494332777131971
9,10.0,9.511764325320204
10,10.0,9.143556816274268
11,10.0,11.343893260732097
12,10.0,7.024766389170641
13,10.0,11.242711372160779
14,10.0,9.769947258359448
15,10.0,12.700232390639966
16,10.0,11.16969690906133
17,10.0,10.421073022433733
18,10.0,12.288162825519725
19,10.0,12.612106995767244
20,10.0,11.608814032784093
21,10.0,9.610240812788215
22,10.0,10.833509553915308
23,10.0,8.900403651983968
24,10.0,15.023663336842175
25,10.0,12.899412052691607
26,10.0,9.651443389471613
27,10.0,8.108166031941309
28,10.0,13.861764605226771
29,10.0,14.41096617081132
30,10.0,13.409309859480933
31,10.0,13.274900215065081
32,10.0,13.195059274723592
33,10.0,15.088745867183892
34,10.0,9.610920671293428
35,10.0,13.631922453874997
36,10.0,12.57443346903132
37,10.0,8.226421275491978
38,10.0,10.675251508560153
39,10.0,8.836219311306214
40,10.0,13.266087101611388
41,10.0,8.61515437351456
42,10.0,10.780418891249894
43,10.0,11.71881981019961
44,10.0,10.125444050856723
45,10.0,15.031867034017957
46,10.0,10.369720097744231
47,10.0,10.93016173526711
48,10.0,13.597222377321463
49,10.0,13.58726670543307
50,10.0,11.869435820364295
51,10.0,14.553445622578135
52,10.0,15.291399063492278
53,10.0,16.91574807144632
54,10.0,11.84008381416146
55,10.0,11.527228392741812
56,10.0,9.673014279271262
57,10.0,12.804865030130836
58,10.0,12.534471579010058
59,10.0,10.603536409000643
60,10.0,12.068849138685316
61,10.0,10.669352341111885
62,10.0,11.32922398828684
63,10.0,10.54374522019786
64,10.0,11.555135507625483
65,10.0,12.838738079945136
66,10.0,12.697314226635955
67,10.0,9.913075185808227
68,10.0,11.971410678739428
69,10.0,11.736975817470112
70,10.0,12.874226497697311
71,10.0,9.41451748051559
72,10.0,12.247541454804463
73,10.0,12.340589821617522
74,10.0,11.287947971629707
